MetaUomCodeAssignmentID	PAPTID	MetaUomID
1120	22001	4
1121	22001	1
1788	22056	4
1789	22056	1
3750	22930	4
3751	22930	1
3752	22933	4
3753	22933	1
3754	22935	82
3755	22938	4
3756	22938	1
8972	25011	4
8973	25011	1
8974	25012	4
8975	25012	1
8976	25013	75
8977	25013	76
12320	27748	4
12321	27748	1
12322	27753	4
12323	27753	1
12324	27754	4
12325	27754	1
50713	76663	4
50714	76663	1
50715	76667	4
50716	76667	1
66862	121790	4
66863	121790	1
78410	156475	70
78413	156477	67
78414	156479	81
78415	156480	78
78416	156481	81
78417	156482	75
78418	156482	76
78421	156484	67
78422	156492	1
78423	156492	4
78424	156493	1
78425	156493	4
78426	156494	70
78429	156496	67
78430	156497	67
78431	156499	81
78432	156500	78
78433	156501	75
78434	156501	76
78437	156505	81
78438	156506	78
78439	156507	75
78440	156507	76
78441	156513	1
78442	156513	4
78443	156514	1
78444	156514	4
78445	156515	1
78446	156515	4
78447	156516	1
78448	156516	4
78531	156624	45
78532	156624	47
78535	156626	45
78536	156626	47
78537	156627	45
78538	156627	47
78539	156628	45
78540	156628	47
79044	157418	78
94501	184681	1
94502	184681	4
94503	184682	1
94504	184682	4
94505	184683	1
94506	184683	4
94507	184684	1
94508	184684	4
94992	185220	1
94993	185220	4
95039	185363	1
95040	185363	4
95041	185364	1
95042	185364	4
95134	185462	1
95135	185462	4
97648	188575	1
97649	188575	4
97821	188877	117
99785	191484	45
99786	191484	46
99787	191484	47
