PAPTID	PartTerminologyID	PAID	MetaID
22001	1684	79	88
22002	1684	30	89
22056	1684	106	88
22059	1684	34	89
22060	1684	1217	89
22930	7212	549	88
22931	7212	550	178
22933	7212	552	88
22934	7212	553	178
22935	7212	1132	163
22938	7212	557	88
24629	7212	1156	74
24633	7212	1159	89
24938	11701	1268	89
25010	11718	1272	74
25011	11718	111	88
25012	11718	14	88
25013	11718	123	88
27746	17220	1681	89
27747	17220	17	74
27748	17220	14	88
27749	17220	2705	89
27751	17220	1671	89
27752	17220	33	74
27753	17220	19	88
27754	17220	24	88
27755	17220	1672	89
76663	14269	14	88
76664	14269	10	74
76666	14269	4748	178
76667	14269	2393	88
76668	14269	63	89
121790	7212	556	88
126122	1684	3390	89
136527	1684	4	89
154735	7212	605	89
156238	1684	9059	89
156257	7212	3858	89
156371	1684	55	74
156460	1684	170	89
156461	1684	9076	89
156467	1684	3596	74
156473	1684	9066	89
156474	11718	1268	89
156475	11718	9078	163
156477	11718	9080	163
156478	11718	9081	74
156479	11718	9082	88
156480	11718	9083	88
156481	11718	89	88
156482	11718	9084	88
156484	11718	2786	163
156485	11718	9085	74
156486	11718	1269	89
156487	11718	1284	74
156488	11718	9086	89
156489	11718	1822	74
156490	11718	9087	89
156491	11718	5950	89
156492	11718	31	88
156493	11718	24	88
156494	11701	9078	163
156496	11701	2786	163
156497	11701	9080	163
156498	11701	9081	74
156499	11701	9082	88
156500	11701	9083	88
156501	11701	9084	88
156503	11701	1269	89
156504	11701	9085	74
156505	11701	89	88
156506	11701	975	88
156507	11701	123	88
156508	11701	1284	74
156509	11701	9086	89
156510	11701	1822	74
156511	11701	9087	89
156512	11701	5950	89
156513	11701	31	88
156514	11701	24	88
156515	11701	14	88
156516	11701	111	88
156517	11701	1272	74
156624	11718	8363	88
156626	11701	8363	88
156627	11718	9079	88
156628	11701	9079	88
157418	11718	975	88
157654	7212	555	89
158751	7212	548	89
158983	1684	9286	89
160596	1684	3	89
160629	14269	1318	89
160633	14269	9294	89
164254	7212	551	74
164303	7212	1155	74
164501	7212	547	89
165998	14269	5217	89
167086	14269	17	74
169222	17220	26	89
172419	7212	9383	89
172687	1684	4543	89
172689	1684	9407	89
183225	1684	8701	74
183226	1684	7673	74
183232	1684	9423	89
183233	1684	9422	89
183234	1684	9421	74
184681	1684	9433	88
184682	1684	9434	88
184683	1684	9435	88
184684	1684	9436	88
184693	1684	7321	89
185167	11701	1270	74
185219	7212	9459	89
185220	7212	6648	88
185363	1684	9478	88
185364	1684	9479	88
185462	7212	9506	88
185494	7212	9507	89
185987	7212	9608	89
187738	11718	9717	178
188503	7212	9746	89
188504	7212	9745	89
188505	7212	1917	89
188575	7212	9748	88
188877	7212	9793	88
188987	7212	604	89
189274	7212	9805	89
191484	11701	9995	163
193704	11701	1271	89
193973	57237	10148	74
193974	57237	10147	74
193975	17220	10	74
