ValidValueAssignmentID	PAPTID	ValidValueID
865	126122	966
866	126122	881
7254	136527	996
7255	136527	276
17854	154735	1341
17855	154735	812
20017	22002	1341
20018	22002	812
20067	22059	1341
20068	22059	812
20069	22060	1341
20070	22060	812
22032	24938	1341
22033	24938	812
23474	27746	1341
23475	27746	812
23476	27749	1341
23477	27749	812
23480	27751	1341
23481	27751	812
23482	27755	1341
23483	27755	812
60401	76668	1341
60402	76668	812
101285	156238	1341
101286	156238	812
101308	156257	397
101309	156257	1167
101310	156257	972
101311	156257	824
101587	156460	1341
101588	156460	812
101589	156461	1341
101590	156461	812
101599	156473	464
101600	156473	772
101601	156474	1341
101602	156474	812
101603	156486	6
101604	156486	23
101605	156488	599
101606	156488	614
101607	156488	644
101608	156488	712
101609	156490	339
101610	156490	545
101611	156490	844
101612	156491	579
101613	156491	890
101614	156503	6
101615	156503	23
101616	156509	599
101617	156509	614
101618	156509	644
101619	156509	712
101620	156511	339
101621	156511	545
101622	156511	844
101623	156512	579
101624	156512	890
102886	157654	515
102887	157654	1191
103117	156473	465
103122	156488	525
103123	156509	525
105892	136527	665
105895	158983	1341
105896	158983	812
106549	136527	785
110498	160596	781
110499	160596	1057
110500	160596	331
110501	160596	849
110679	160629	807
110680	160629	2
110681	160629	67
110682	160629	126
110683	160629	155
110684	160629	11
110685	160629	61
110686	160629	87
110687	160629	109
110688	160629	1343
110689	160629	1349
110690	160629	1347
110691	160629	1345
110692	160629	1342
110693	160629	485
110694	160629	1101
110695	160629	773
110696	160629	705
110697	160629	706
110698	160629	483
110699	160629	484
110700	160629	62
110701	160629	63
110702	160629	88
110703	160629	89
110704	160629	110
110705	160629	111
110728	160633	776
110729	160633	1331
110730	160633	282
110731	160633	578
110732	160633	1217
110733	160633	1218
110734	160633	653
110735	160633	654
110736	160629	64
123235	165998	542
123236	165998	957
123237	165998	543
152188	169222	802
152189	169222	1177
158328	164501	381
158329	158751	808
158330	158751	1358
158331	158751	1359
158332	158751	1360
158333	158751	1361
158334	158751	1362
158335	158751	1363
158336	24633	381
158337	24633	808
158338	24633	1360
158339	172419	808
158340	172419	1360
158490	160596	1378
158571	172687	1341
158572	172687	812
158575	172689	1341
158576	172689	812
162027	183232	1341
162028	183232	812
162029	183233	1341
162030	183233	812
162387	184693	23
162388	184693	90
162389	184693	1418
162390	184693	1419
162391	184693	1420
162964	185219	1341
162965	185219	812
163397	185494	612
163398	185494	1625
163787	185987	1710
163788	185987	1142
166205	188503	1341
166206	188503	812
166207	188504	515
166208	188504	2280
166209	188505	1341
166210	188505	812
166851	188987	331
166934	160596	2279
166944	189274	2300
166945	189274	2301
166946	189274	2302
166947	189274	2303
166948	189274	2304
166949	189274	2305
166950	189274	2306
167041	172419	2307
168847	160596	2494
173406	193704	1341
173407	193704	812
173929	160629	2842
