CodeMasterID|CategoryID|SubCategoryID|PartTerminologyID|PositionID|RevDate
447|3|138|1684|22|02/07/2003
448|3|138|1684|30|02/07/2003
641|14|200|7212|1|02/07/2003
4476|7|180|11701|1|05/31/2006
4493|7|180|11718|1|05/31/2006
5584|3|138|1684|1|06/30/2006
9905|14|200|7212|255|09/28/2007
9906|14|200|7212|256|09/28/2007
10491|44|445|14269|1|02/29/2008
13567|7|180|11701|38|04/25/2008
13568|7|180|11701|42|04/25/2008
13569|7|180|11701|46|04/25/2008
13570|7|180|11701|50|04/25/2008
14740|7|180|11701|1902|08/01/2008
14741|7|180|11701|1903|08/01/2008
14742|7|180|11701|1904|08/01/2008
19866|18|464|17220|1|09/24/2010
23514|7|180|11701|2|04/13/2012
23515|7|180|11701|12|04/13/2012
50127|44|447|57237|1|03/05/2018
50244|3|138|1684|103|03/16/2018
50245|3|138|1684|104|03/16/2018
50246|3|138|1684|105|03/16/2018
50247|3|138|1684|106|03/16/2018
