PIESReferenceFieldCodeId|PIESFieldId|PIESCodeId|PIESExpiCodeId|ReferenceNotes
1|1|141||The file being sent is an update file with changes, additions, deletions
2|2|98||
3|1|302||The file being sent is a full Refresh File
4|5|98||
5|48|98||
6|93|5|37|(Internal Use) - Part is in the process of being released. Required fields are not completed to release it for initial orders.
7|79|372||
9|77|372||
10|71|372||
11|26|372||
12|33|372||
13|49|372||
14|50|372||
15|52|372||
16|53|372||
17|66|415||Canadian Harmonization Code
18|23|373||
19|101|386||
20|43|386||
21|98|387||
22|46|387||
23|9|388||A description used to send general information in large paragraphs. Each general copy paragraph should be sent individually for the code. To provide multiple general copy paragraphs, loop the element/code. You can also provide a display sequence if needed.
24|16|16||
25|16|17||
26|48|376||
27|5|376||
28|2|376||
29|109|414||
30|59|414||
31|34|382||
35|16|50||
36|16|49||
37|16|22||
38|16|416||
39|7|93||Brand Owner Code (4 Char)
40|7|92||Brand Parent Code (4 Char)
41|7|91||Brand ID Code (4 Char)
42|8|93||Brand Owner Code (4 Char)
43|8|92||Brand Parent Code (4 Char)
44|8|91||Brand ID Code (4 Char)
45|53|56||
46|53|284||
47|53|48||
48|53|47||
49|53|46||
50|53|44||
51|53|37||
52|53|36||
53|53|35||
54|53|34||
55|53|33||
56|103|310||
57|42|310||
58|52|56||
59|50|44||
60|50|46||
61|50|47||
62|50|48||
63|50|284||
64|50|56||
65|52|33||
66|52|34||
67|52|35||
68|52|36||
69|52|37||
70|52|44||
71|52|46||
72|52|47||
73|52|48||
74|52|284||
75|79|371||
76|77|371||
77|71|371||
78|26|371||
79|33|371||
80|49|371||
81|50|371||
82|52|371||
83|53|371||
84|66|410||
85|66|411||
86|34|381||
87|97|412||
88|32|412||
89|97|413||
90|32|413||
91|52|309||
92|50|309||
93|49|309||
94|33|309||
95|26|309||
96|71|309||
97|77|309||
98|79|309||
99|53|309||
101|50|37||
102|50|36||
103|50|35||
104|50|34||
105|50|33||
106|49|56||
107|49|284||
108|49|48||
109|49|47||
110|49|46||
111|49|44||
112|49|37||
113|49|36||
114|49|35||
115|49|34||
116|49|33||
117|60|177||A description, specifically used in places where there is a very low character count restraint, to describe what the product is.
118|60|283||
119|60|282||
121|47|176||
122|47|190||
123|33|56||
124|33|284||
125|33|48||
126|33|47||
127|33|46||
128|33|44||
129|33|37||
130|33|36||
131|33|35||
132|33|34||
133|33|33||
134|77|307||
135|60|308||
136|73|308||
137|40|308||
139|106|308||
141|53|307||
142|52|307||
143|50|307||
144|49|307||
145|33|307||
146|26|307||
147|71|307||
148|66|84||Manufacturers Class for Core Returns
149|66|82||Manufacturers Group for Core Returns
150|94|286|38|Part has been announced to customers on a paper “New Number Announcement”. Part is active.
151|65|280|29|
152|64|280|30|
153|93|57|37|Part is released to customers for ordering.
154|93|66|37|Part has been announced to customers via electronic data files. Part is active but needs paper announcement.
155|93|122|37|Part has been announced to customers on a paper “New Number Announcement”. Part is active.
156|93|128|37|Part is suspended from shipment due to lack of availability or a hold on production.
157|93|125|37|Existing inventory of this part should be renumbered to the surviving part number.
158|90|280|32|
159|89|280|31|
160|91|280|33|
161|79|303||
162|77|303||
163|71|303||
164|26|303||
165|33|303||
166|49|303||
167|50|303||
168|52|303||
169|53|303||
170|109|304||
171|59|304||
172|81|305|26|
173|97|306||
174|32|306||
175|79|307||
176|32|83||
177|32|85||
178|32|86||
179|32|88||
180|32|89||
181|32|90||A general brochure describing a brand, company, product line.  If brochure in question is for a specific product, use code PDB.
182|32|281||
183|32|285||
184|32|120||
185|71|33||
186|71|34||
187|71|35||
188|71|36||
189|71|37||
190|71|44||
191|71|46||
192|71|47||
193|71|48||
194|71|284||
195|71|56||
196|66|54||S=Shelf-Stock,N=Non-Stock (Made to Order),Q=Quick-Ship
197|94|53|38|Part is being replaced by the surviving part number.
198|44|180||
199|44|182||
200|44|153||
201|44|135||
202|44|99||
203|44|55||
204|45|179||
205|46|95||
206|46|277||
207|46|288||
208|46|188||
209|46|178||
210|46|184||
211|91|24|33|
212|90|24|32|
213|89|24|31|
214|64|24|30|
215|65|24|29|
216|87|276|42|
217|94|278|38|Part is released to customers for ordering.
218|94|279|38|Available Only While Supplies Last
223|40|282||
224|40|283||
226|42|94||
227|42|269||
228|42|287||
229|42|121||
230|43|45||
231|73|282||
232|73|283||
233|73|177||A description, specifically used in places where there is a very low character count restraint, to describe what the product is.
234|46|52||
235|98|52||
236|77|33||
237|77|34||
238|77|35||
239|77|36||
240|77|37||
241|77|44||
242|77|46||
243|77|47||
244|77|48||
245|77|284||
246|77|56||
247|35|24||
248|35|280||
250|15|270||
251|15|271||
252|15|272||
253|15|273||
254|15|274||
255|15|275||
256|88|43|39|
257|27|35||
258|79|33||
259|79|34||
260|79|35||
261|79|36||
262|79|37||
263|79|44||
264|79|46||
265|79|47||
266|79|48||
267|79|284||
268|79|56||
269|16|181||
270|16|183||
271|16|152||
272|16|134||
273|16|133||
274|16|126||
275|16|127||
276|16|129||
277|16|124||
278|16|123||
279|16|65||
280|16|64||
281|16|63||
282|19|51||
283|66|62||Y/N
284|53|61||
285|52|61||
286|50|61||
287|49|61||
288|33|61||
289|26|61||
290|71|61||
291|77|61||
292|79|61||
293|94|60|38|Part is suspended from shipment due to lack of availability or a hold on production.
294|81|59|25|
295|65|58|29|
296|64|58|30|
297|89|58|31|
298|90|58|32|
299|20|58||
300|35|58||
301|112|58||
302|20|24||
303|20|280||
304|26|33||
305|26|34||
306|26|35||
307|26|36||
308|26|37||
309|26|44||
310|26|46||
311|26|47||
312|26|48||
313|26|284||
314|26|56||
315|97|120||
316|97|285||
317|97|281||
318|97|90||A general brochure describing a brand, company, product line.  If brochure in question is for a specific product, use code PDB.
319|97|89||
320|97|88||
321|97|86||
322|97|85||
323|97|83||
324|100|180||
325|100|182||
326|100|153||
327|100|135||
328|100|99||
329|100|55||
330|99|179||
331|98|95||
332|98|277||
333|98|288||
334|98|188||
335|98|178||
336|98|184||
342|86|106|43|Supplier Method of Calculation for Standard Codes Description
343|103|105||
344|42|105||
345|97|104||
346|32|104||
347|66|103||Proprietary Trading Partner Movement Code
348|106|102||
349|40|102||
350|60|102||
351|98|101||
352|46|101||
353|97|100||
354|32|100||
355|91|58|33|
356|47|150||
357|65|149|29|
358|79|146||
359|77|146||
360|71|146||
361|26|146||
362|33|146||
363|49|146||
364|50|146||
365|52|146||
366|53|146||
367|98|147||
368|46|147||
369|81|148|26|
370|112|149||
371|35|149||
372|20|149||
373|91|149|33|
374|90|149|32|
375|89|149|31|
376|64|149|30|
380|104|370||
381|41|370||
382|24|370||
383|14|383||
384|14|384||
