OldPartTerminologyID|OldPartTerminologyName|NewPartTerminologyID|NewPartTerminologyName|RevDate
1120|Side Window Cover|1328|Window Cover|03/28/2014
1180|Tire Carrier|19121|Spare Tire Carrier|12/23/2013
1252|Wing|10005|Spoiler|03/28/2014
1292|Door Lock Solenoid|14497|Door Lock Actuator Motor|03/28/2014
1424|Trunk Lid Release Solenoid|1424|Deck Lid Release Solenoid|03/28/2014
1644|Spindle Bearing and Seal Kit|17128|Wheel Bearing and Seal Kit|05/30/2014
1676|Brake Bleeder|17728|Brake Bleeder Screw|12/23/2013
2112|Expansion Plug Type Engine Heater|2104|Engine Heater|01/31/2014
2116|Hose Type Engine Heater|2104|Engine Heater|01/31/2014
2124|Pump Type Engine Heater|2104|Engine Heater|01/31/2014
2128|Tank Type Engine Heater|2104|Engine Heater|01/31/2014
2288|CV Joint Half Shaft|18313|CV Axle Assembly|09/26/2014
2597|Manifold Air Pressure Sensor Connector|15786|Manifold Absolute Pressure Sensor Connector|03/28/2014
2924|A.I.R Control Relay|3756|Secondary Air Injection Relay|03/28/2014
2984|Antenna Relay|49454|Power Antenna Relay|03/28/2014
3180|A/C Compressor Relay|3152|A/C Clutch Relay|03/28/2014
3248|Defogger Relay|3432|Rear Window Defroster Relay|03/28/2014
3456|HVAC High Blower Relay|3084|HVAC Blower Relay|03/28/2014
3464|A/C Compressor Hold Relay|3152|A/C Clutch Relay|06/27/2014
3536|Lambda Pulsing Relay|3628|Oxygen Sensor Relay|03/28/2014
3684|Speed Control Relay|3232|Cruise Control Relay|03/28/2014
3776|Soft Ride Control Relay|2952|Active Suspension Relay|03/28/2014
3796|Speed Up Solenoid Relay|10212|Fast Idle Valve Solenoid|03/28/2014
4072|Instrument Cluster Lamp Socket|21404|Instrument Panel Lamp Socket|03/28/2014
4080|Map Lamp Socket|21704|Reading Lamp Socket|03/28/2014
4084|Marker Lamp Socket|4120|Side Marker Lamp Socket|06/27/2014
4100|Parking Lamp Socket|21249|Parking Light Bulb Socket|03/28/2014
4224|Tire Air Pressure Warning Switch|12036|Tire Pressure Monitoring System (TPMS) Sensor|03/28/2014
4332|Defogger Switch|4336|Defroster Switch|03/28/2014
4348|Turn Signal, Dimmer Combo Switch|11754|Combination Switch|03/28/2014
4496|A/C High or Low Side Pressure Switch|4492|HVAC Pressure Switch|03/28/2014
4656|A/C Refrigerant Pressure Switch|4492|HVAC Pressure Switch|03/28/2014
4836|Turn Signal, Warning, Wiper Combo Switch|11754|Combination Switch|03/28/2014
4904|Air Injection Pipe|48081|Secondary Air Injection Pipe|01/31/2014
4908|Air Bypass Valve|22220|Secondary Air Injection Bypass Valve|01/31/2014
4912|Air Check Valve|22222|Secondary Air Injection Check Valve|01/31/2014
4916|Air Control Valve|47491|Secondary Air Injection Control Valve|01/31/2014
4920|Air Pump|22168|Secondary Air Injection Pump|01/31/2014
4928|Anti-Backfire Valve|20767|Deceleration Valve|01/31/2014
4960|EGR Bleed Filter|14420|EGR Valve Filter|01/31/2014
4964|EGR Vacuum Solenoid|4380|EGR Valve Control Solenoid|01/31/2014
4996|Air Pump Filter|48244|Secondary Air Injection Pump Filter|06/27/2014
5072|Air Temperature Sensor|5064|Air Charge Temperature Sensor|01/31/2014
5100|Engine Temperature Sensor|20791|Engine Metal Temperature Indicator Switch|03/28/2014
5312|Engine Cylinder Sleeve|15147|Engine Cylinder Liner|03/28/2014
5448|Engine Push Rod Cover Grommet|5492|Engine Valve Cover Grommet|03/28/2014
5474|Engine Short Block Gasket Set|5404|Engine Gasket Set|03/28/2014
5576|Engine Oil Pump Pickup Tube with Screen|46250|Engine Oil Pump Pickup Tube|03/28/2014
5644|Engine Piston Sleeve Assembly|15147|Engine Cylinder Liner|03/28/2014
5688|Engine Roller Rocker Arm|5656|Engine Rocker Arm|03/28/2014
6344|Air Cleaner Intake Hose|11186|Engine Air Intake Hose|01/31/2014
6520|A/C System Deodorizer|18591|Odor Eliminator|12/23/2013
