ChangeID|RequestID|ChangeReasonID|RevDate
61|43399|1|9/29/2017 12:00:00 AM
237|113333|6|5/25/2018 12:00:00 AM
249|113642|6|5/25/2018 12:00:00 AM
313|344929|1|3/29/2019 12:00:00 AM
316|344932|1|3/29/2019 12:00:00 AM
4956|737833|1|1/31/2020 12:00:00 AM
5531|819341|1|7/31/2020 12:00:00 AM
6159|932249|1|11/20/2020 12:00:00 AM
6160|932248|1|11/20/2020 12:00:00 AM
28848|1140888|6|4/30/2021 12:00:00 AM
30833|1288803|1|9/24/2021 12:00:00 AM
30839|1283205|1|9/24/2021 12:00:00 AM
30930|1292790|6|10/29/2021 12:00:00 AM
32066|1642434|1|4/29/2022 12:00:00 AM
33771|1934097|1|9/30/2022 12:00:00 AM
33776|1939482|6|9/30/2022 12:00:00 AM
34040|2217000|1|1/12/2023 12:00:00 AM
52227|2450097|1|6/29/2023 12:00:00 AM
