BaseVehicleID|YearID|MakeID|ModelID
18253|2005|40|2760
96979|2011|47|449
108177|2004|1177|17342
120309|2005|1181|21820
125659|2013|629|21858
129927|2015|54|666
130030|2014|74|6843
130298|2012|1203|24030
132434|2015|1254|24390
133704|2000|1289|24556
137637|2011|1255|25125
140751|2017|497|23424
143437|2018|39|25219
143957|1983|1324|26572
149406|2020|559|16198
149839|2014|614|27731
150730|2020|67|2844
152575|2017|1353|28456
154749|2020|1352|28912
156687|2022|496|27198
157183|2021|54|674
159051|2021|23|24252
161728|2022|1370|29995
161931|2008|1375|30076
162697|2022|1326|29292
163539|2023|11|30322
164579|2010|7|28478
165355|2023|47|26357
165557|2023|40|286
165712|2004|7|28477
168220|2004|74|30965
169023|2022|499|23516
169437|2022|1423|31341
169472|2024|47|432
169886|2022|76|31502
173146|2022|499|32628
173276|2019|23|27718
173931|2024|1356|32945
174502|2019|547|31442
174675|2016|1302|32994
