EngineBaseID|Liter|CC|CID|Cylinders|BlockType|EngBoreIn|EngBoreMetric|EngStrokeIn|EngStrokeMetric
397|4.3|-|262|6|V|4.00|101.6|3.48|88.4
6037|12.8|12809|781|6|L|5.20|132.0|6.15|156.0
17757|1.3|1330|81|3|L|3.307|84.0|3.15|80.0
17771|7.6|7636|466|6|L|4.56|115.8|4.75|120.6
17818|3.3|3279|200|6|V|3.86|98.0|2.87|73.0
17915|0.7|719|44|3|L|2.64|67.0|2.68|68.0
18102|0.7|726|44|2|V|3.10|78.0|3.00|76.0
18136|0.4|358|22|1|HS|3.3125|84.1|2.53|64.3
288|4.7|-|287|8|V|3.66|93.0|3.41|86.5
396|6.0|5967|364|8|V|4.00|101.6|3.62|92.0
453|4.8|-|294|8|V|3.78|96.0|3.27|83.0
983|1.8|1781|-|4|L|3.19|81.0|3.40|86.4
1133|-|-|-|-|-|N/R|N/R|N/R|N/R
1880|5.7|-|345|8|V|3.92|99.57|3.58|90.93
2133|6.7|-|408|6|L|4.2126|107.0|4.8819|124.0
2146|3.5|3496|213|6|V|3.64|92.5|3.41|86.7
2362|5.2|-|317|4|L|U/K|U/K|U/K|U/K
2386|3.0|2987|-|6|V|3.27|83.0|3.62|92.0
2564|2.5|2488|152|4|L|3.50|88.9|3.94|100.1
2643|8.3|8268|504|6|L|4.49|114.0|5.31|135.0
2647|8.9|8849|540|6|L|4.49|114.0|5.69|144.5
3851|1.2|1242|76|4|L|2.79|70.8|3.11|78.9
3878|1.6|1598|98|4|L|3.13|79.5|3.17|80.5
3922|2.0|1998|122|4|L|3.26|82.7|3.66|93.0
4244|5.0|4951|302|8|V|3.63|92.2|3.65|92.7
4257|3.6|3604|220|6|V|3.78|96.0|3.27|83.0
4312|-|150|-|-|-|U/K|U/K|U/K|U/K
4422|-|432|-|-|-|U/K|U/K|U/K|U/K
4435|-|450|-|-|-|U/K|U/K|U/K|U/K
4521|-|649|-|-|-|U/K|U/K|U/K|U/K
4585|-|849|-|-|-|U/K|U/K|U/K|U/K
4708|-|1494|-|-|-|U/K|U/K|U/K|U/K
5548|-|-|-|-|-|U/K|U/K|U/K|U/K
5920|6.2|6162|376|8|V|4.06|103.2|3.62|92.0
6186|12.7|12686|774|6|L|5.1181|130.0|6.2992|160.0
6292|6.2|6166|376|8|V|4.09|103.9|3.58|90.9
17460|6.6|6599|403|8|V|4.06|103.0|3.90|99.0
17607|1.8|1750|108|4|L|3.17|80.5|3.39|86.1
17628|12.9|-|787|6|L|5.12|130.0|6.38|162.0
17714|3.0|2996|183|6|L|3.27|83.0|3.63|92.3
17798|4.7|-|-|4|L|U/K|U/K|U/K|U/K
17866|1.6|1590|97|4|L|2.95|75.0|3.54|90.0
17878|7.3|7292|445|8|V|4.22|107.2|3.97|101.0
17899|1.5|1497|91|4|L|3.05|77.4|3.13|79.5
18066|2.7|2746|-|4|L|3.68|93.5|3.94|100.0
18074|1.9|1910|117|4|L|3.23|82.0|3.56|90.4
18200|7.7|7684|469|6|L|4.41|112.0|5.12|130.0
18203|3.7|3661|-|4|L|4.02|102.0|4.41|112.0
18204|4.2|4164|-|6|L|3.70|94.0|3.94|100.0
17667|12.8|-|780|6|L|5.16|131.0|6.22|158.0
