EngineBaseID|EngineBlockID|EngineBoreStrokeID
288|146|126
396|183|161
397|184|100
453|199|171
983|369|308
1133|409|350
1880|582|470
2133|790|552
2146|801|559
2362|922|1
2386|945|272
2564|1062|588
2643|1074|603
2647|1075|604
3851|1083|614
3878|214|627
3922|59|635
4244|1178|677
4257|1187|171
4312|1238|1
4422|1346|1
4435|1359|1
4521|1444|1
4585|1507|1
4708|1626|1
5548|409|1
5920|2195|538
6037|2261|1215
6186|2331|1275
6292|2386|1295
17460|2553|172
17607|2623|444
17628|2638|1453
17667|3114|1462
17714|611|1246
17757|2752|1519
17771|2765|1530
17798|2786|1
17818|2805|1557
17866|2|169
17878|2850|1590
17899|1183|1605
17915|2874|1615
18066|2991|1711
18074|2997|1717
18102|3016|1734
18136|3041|1752
18200|2632|1777
18203|3090|1792
18204|3091|1395
