EngineBlockID|Liter|CC|CID|Cylinders|BlockType
2|1.6|1590|97|4|L
59|2.0|1998|122|4|L
146|4.7|-|287|8|V
183|6.0|5967|364|8|V
184|4.3|-|262|6|V
199|4.8|-|294|8|V
214|1.6|1598|98|4|L
369|1.8|1781|-|4|L
409|-|-|-|-|-
582|5.7|-|345|8|V
611|3.0|2996|183|6|L
790|6.7|-|408|6|L
801|3.5|3496|213|6|V
922|5.2|-|317|4|L
945|3.0|2987|-|6|V
1062|2.5|2488|152|4|L
1074|8.3|8268|504|6|L
1075|8.9|8849|540|6|L
1083|1.2|1242|76|4|L
1178|5.0|4951|302|8|V
1183|1.5|1497|91|4|L
1187|3.6|3604|220|6|V
1238|-|150|-|-|-
1346|-|432|-|-|-
1359|-|450|-|-|-
1444|-|649|-|-|-
1507|-|849|-|-|-
1626|-|1494|-|-|-
2195|6.2|6162|376|8|V
2261|12.8|12809|781|6|L
2331|12.7|12686|774|6|L
2386|6.2|6166|376|8|V
2553|6.6|6599|403|8|V
2623|1.8|1750|108|4|L
2632|7.7|7684|469|6|L
2638|12.9|-|787|6|L
2752|1.3|1330|81|3|L
2765|7.6|7636|466|6|L
2786|4.7|-|-|4|L
2805|3.3|3279|200|6|V
2850|7.3|7292|445|8|V
2874|0.7|719|44|3|L
2991|2.7|2746|-|4|L
2997|1.9|1910|117|4|L
3016|0.7|726|44|2|V
3041|0.4|358|22|1|HS
3090|3.7|3661|-|4|L
3091|4.2|4164|-|6|L
3114|12.8|-|780|6|L
