EngineBoreStrokeID|EngBoreIn|EngBoreMetric|EngStrokeIn|EngStrokeMetric
1|U/K|U/K|U/K|U/K
100|4.00|101.6|3.48|88.4
126|3.66|93.0|3.41|86.5
161|4.00|101.6|3.62|92.0
169|2.95|75.0|3.54|90.0
171|3.78|96.0|3.27|83.0
172|4.06|103.0|3.90|99.0
272|3.27|83.0|3.62|92.0
308|3.19|81.0|3.40|86.4
350|N/R|N/R|N/R|N/R
444|3.17|80.5|3.39|86.1
470|3.92|99.57|3.58|90.93
538|4.06|103.2|3.62|92.0
552|4.2126|107.0|4.8819|124.0
559|3.64|92.5|3.41|86.7
588|3.50|88.9|3.94|100.1
603|4.49|114.0|5.31|135.0
604|4.49|114.0|5.69|144.5
614|2.79|70.8|3.11|78.9
627|3.13|79.5|3.17|80.5
635|3.26|82.7|3.66|93.0
677|3.63|92.2|3.65|92.7
1215|5.20|132.0|6.15|156.0
1246|3.27|83.0|3.63|92.3
1275|5.1181|130.0|6.2992|160.0
1295|4.09|103.9|3.58|90.9
1395|3.70|94.0|3.94|100.0
1453|5.12|130.0|6.38|162.0
1462|5.16|131.0|6.22|158.0
1519|3.307|84.0|3.15|80.0
1530|4.56|115.8|4.75|120.6
1557|3.86|98.0|2.87|73.0
1590|4.22|107.2|3.97|101.0
1605|3.05|77.4|3.13|79.5
1615|2.64|67.0|2.68|68.0
1711|3.68|93.5|3.94|100.0
1717|3.23|82.0|3.56|90.4
1734|3.10|78.0|3.00|76.0
1752|3.3125|84.1|2.53|64.3
1777|4.41|112.0|5.12|130.0
1792|4.02|102.0|4.41|112.0
