EngineDesignationID|EngineDesignationName
1|-
4843|DD13
608|QR25DE
876|4HK1
3471|L96
3472|L20
3534|F4R
3599|LGH
15384|QSB 6.7
16020|J843
16051|6466T
16149|3279cc
16346|D722-E
16639|QSC8.3
17030|FR691V
17102|HMSK110
17302|VORTEC 4300
4483|CJRA
4562|LC8
4790|K7M
4945|ISL 8.9
4950|ISC 8.3
4951|ISB 6.7
5023|Series 60
5100|LT4
15363|MP8
15364|ISL-G
15366|PX-8
15372|PX-7
15373|PX-9
15374|MX-13
15538|ERC
15604|J18
15613|I1B
16284|ESJ
16303|SQR477F
16327|4A92
16722|178 E
16748|UDH
16791|HFC4DE1-1D
17361|J05E-VF
17362|J05E-TC
17368|14B
17369|1HZ
