TransmissionID|TransmissionBaseID|TransmissionMfrCodeID|TransmissionElecControlledID|TransmissionMfrID
297|4|2|1|2
388|4|2|1|38
2620|21|1951|1|24
3017|4|2|1|9
3021|4|2|1|55
4971|21|3338|1|45
5334|8|4|1|4
5435|16|2|1|38
5701|1|2|1|665
5702|7|2|1|665
6198|21|2|1|598
6299|21|3936|1|481
6417|21|3907|1|655
6418|133|3909|1|655
6419|123|3905|1|655
6528|21|4034|1|45
6529|21|4033|1|45
6699|21|3861|1|2
7243|126|4|1|653
7334|21|4|1|481
6918|15|4|2|389
6477|130|4009|2|50
5751|118|3643|2|11
6114|59|3868|2|50
5557|20|3563|2|35
4991|100|3300|2|21
5115|59|2591|2|21
3116|24|2308|2|22
4683|63|2|2|4
2777|48|2045|2|21
2849|24|2097|2|11
2937|24|2225|2|22
1185|15|114|2|21
2340|38|4|5|4
