VehicleID|BaseVehicleID|SubmodelID|RegionID|Source|PublicationStageID|PublicationStageSource|PublicationStageDate
55619|18253|296|1||4|OE Publication|6/1/2015 9:06:00 AM
156802|96979|20|2||4||1/27/2012 12:00:00 AM
178639|108177|20|1|POWERSPORT|4||1/27/2012 12:00:00 AM
194487|120309|20|1||4|Ready2Ride|8/1/2012 5:44:00 PM
204229|125659|20|1||4|VCDB Batch|3/14/2013 9:47:00 AM
211362|129927|695|1||4|OE Publication|2/2/2016 7:21:00 AM
211843|130030|2856|2||4|OE Publication|5/13/2014 8:08:00 AM
212992|130298|20|1||4|VCDB Batch|8/20/2014 7:47:00 AM
218116|132434|20|2||4|VCDB Batch|4/17/2015 5:33:00 PM
221024|133704|20|1||4|VCDB Batch|1/27/2015 2:29:00 AM
232658|137637|3640|1||4|VCDB Batch|9/21/2015 7:42:00 AM
245471|140751|3698|2||4|VCDB Batch|12/15/2016 11:47:00 AM
246847|143437|4508|1||4||5/12/2017 11:48:00 AM
248134|143957|20|3||4||7/17/2017 8:29:00 PM
261830|149406|20|1||4||4/18/2019 5:19:00 PM
263666|149839|20|3||4||6/19/2019 11:30:00 AM
270341|152575|5516|4||4||1/23/2020 2:50:00 PM
278316|154749|2431|7||4||10/15/2020 2:37:00 PM
288248|157183|20|1||4||5/24/2021 8:03:00 AM
295029|159051|5154|8||4||10/18/2021 8:22:00 PM
308060|161728|20|1||4||3/30/2022 11:18:00 PM
308316|161931|7745|1||4||3/31/2022 11:56:00 PM
315680|162697|4631|3||4||4/21/2022 7:17:00 PM
323280|163539|6046|2||4||6/13/2022 7:26:00 PM
326261|164579|6273|9||4||7/20/2022 6:52:00 PM
333127|165355|20|1||4||8/22/2022 9:46:00 AM
334342|165557|5880|1||4||9/19/2022 2:09:00 PM
334704|165712|20|14||4||9/22/2022 1:16:00 PM
356973|169437|20|3||4||2/15/2023 2:24:00 PM
359582|169023|11411|13||4||3/23/2023 3:30:00 PM
359598|169886|11424|13||4||3/23/2023 3:30:00 PM
362990|156687|20|5||4||5/11/2023 3:27:00 PM
363237|168220|20|17||4||5/11/2023 3:31:00 PM
366160|169472|3069|2||4||6/22/2023 10:17:00 PM
368840|173146|11927|2||4||7/21/2023 7:10:00 PM
369375|150730|3325|21||4||8/23/2023 8:06:00 PM
370592|173276|4596|11||4||8/23/2023 8:26:00 PM
371021|173931|20|2||4||9/11/2023 9:07:00 PM
373191|174502|1374|6||4||10/11/2023 7:59:00 PM
374115|174675|20|1||4||10/19/2023 7:11:00 PM
