VehicleToBedConfigID|VehicleID|BedConfigID|Source
75941|55619|90|
75963|55619|91|
181221|156802|5|
197452|211843|5|
198787|211362|87|
203563|218116|5|
206476|221024|5|
238793|232658|5|
254096|178639|81|
260563|194487|81|
262824|204229|81|
265309|212992|81|
278891|245471|5|
285144|248134|5|
285981|246847|5|
299264|261830|5|
301379|263666|5|
308406|270341|5|
317498|278316|5|
198792|211362|222|
327737|288248|5|
334558|295029|5|
347856|308060|81|
348085|308316|5|
355438|315680|5|
363035|323280|5|
366071|326261|316|
372991|333127|5|
374087|334342|5|
374468|334704|5|
397033|356973|5|
399696|359582|5|
399712|359598|5|
402919|362990|5|
403166|363237|5|
406036|366160|5|
408827|368840|5|
409415|369375|5|
410632|370592|274|
411119|371021|5|
413264|373191|5|
414291|374115|5|
