VehicleToBodyConfigID|VehicleID|WheelBaseID|BedConfigID|BodyStyleConfigID|MfrBodyCodeID|Source
5453|211362|53|87|53|4284|
5454|211362|53|87|53|4285|
21734|246847|466|5|40|3983|
28169|211843|304|5|40|2565|
31965|156802|110|5|47|2167|
31966|156802|107|5|45|2164|
31967|156802|109|5|47|2166|
31968|156802|106|5|115|2163|
31969|156802|108|5|47|2165|
31970|156802|106|5|44|2163|
77562|55619|69|91|53|233|
77563|55619|67|90|31|233|
77564|55619|68|90|53|233|
77565|55619|68|91|31|233|
96391|211362|119|222|53|4285|
96392|211362|119|222|53|4284|
105992|323280|91|5|9|5096|
107511|334342|1|5|7|23|
108645|315680|817|5|46|2|
116689|366160|1|5|7|297|
116690|366160|1|5|8|4042|
117800|288248|124|5|210|5741|
117801|288248|123|5|210|5741|
117802|288248|389|5|210|5741|
117803|288248|390|5|210|5741|
117804|288248|125|5|210|5741|
117805|288248|122|5|210|5741|
117806|288248|146|5|210|5741|
127215|371021|90|5|9|2|
