VehicleToBodyStyleConfigID|VehicleID|BodyStyleConfigID|Source
76164|55619|53|
76170|55619|31|
186262|156802|44|
186263|156802|45|
186264|156802|47|
186265|156802|115|
211260|211843|40|
212776|211362|53|
218222|218116|145|
222249|221024|144|
256893|232658|150|
271736|178639|108|
278203|194487|108|
280464|204229|108|
282949|212992|108|
299699|245471|177|
306402|248134|7|
307336|246847|40|
322253|261830|158|
324483|263666|240|
332245|270341|9|
341554|278316|9|
352848|288248|210|
360189|295029|1|
374065|308060|108|
374296|308316|279|
381782|315680|46|
389464|323280|9|
392664|326261|31|
399654|333127|145|
400827|334342|7|
401218|334704|40|
424230|356973|108|
424387|333127|250|
427032|359582|240|
427048|359598|294|
430357|362990|231|
430605|363237|16|
433536|366160|7|
433537|366160|8|
436511|368840|145|
437151|369375|9|
438373|370592|53|
439037|371021|9|
441338|373191|143|
442364|374115|149|
