VehicleToBrakeConfigID|VehicleID|BrakeConfigID|Source
62223|55619|6|
62231|55619|12|
168844|156802|6|
188720|211843|6|
190040|211362|6|
195295|218116|36|
198255|221024|36|
231842|232658|36|
247100|178639|19|
253567|194487|19|
255828|204229|19|
258313|212992|19|
272680|245471|19|
279655|248134|8|
280561|246847|6|
293724|261830|36|
295796|263666|62|
295941|261830|39|
302525|270341|6|
310792|278316|6|
320919|288248|39|
327922|295029|9|
341482|308060|19|
341711|308316|6|
349318|315680|9|
357534|323280|6|
360577|326261|8|
367580|333127|38|
368661|334342|6|
369024|334704|9|
391929|356973|19|
394567|359582|67|
394583|359598|70|
397796|362990|29|
397797|362990|76|
398047|363237|9|
400972|366160|6|
403796|368840|39|
404328|369375|6|
405546|370592|9|
405998|371021|6|
408206|373191|61|
409222|374115|36|
