VehicleToClassID|VehicleID|ClassID|Source
1674|218116|4|
4451|232658|6|
18116|221024|4|
21071|245471|4|
44282|246847|1|
47102|211362|1|
49798|211843|1|
57885|156802|3|
59277|212992|1|
64217|204229|1|
80484|55619|1|
80797|194487|1|
115814|261830|5|
128399|248134|1|
159954|178639|1|
164583|263666|5|
173267|270341|1|
182636|278316|1|
192563|288248|5|
197752|288248|8|
197753|288248|7|
199480|295029|1|
212479|308060|1|
212708|308316|3|
220223|315680|2|
228039|323280|1|
231055|326261|1|
238154|333127|7|
239243|334342|1|
239605|334704|1|
262408|356973|1|
265017|359582|5|
265033|359598|3|
268410|362990|4|
268661|363237|1|
271544|366160|1|
274334|368840|8|
274869|369375|1|
276088|370592|1|
276550|371021|1|
278712|373191|4|
279723|374115|4|
