VehicleToDriveTypeID|VehicleID|DriveTypeID|Source
60489|55619|7|
60495|55619|8|
168802|156802|7|
186453|211843|5|
188035|211362|7|
188040|211362|8|
193479|218116|11|
197700|221024|14|
232345|232658|12|
247643|178639|4|
254110|194487|4|
256371|204229|4|
258856|212992|4|
275229|245471|4|
281830|248134|7|
282807|246847|5|
297970|261830|12|
300323|263666|12|
302707|261830|11|
307811|270341|5|
317198|278316|5|
328141|288248|12|
335389|295029|5|
349328|308060|4|
349561|308316|12|
357167|315680|7|
364816|323280|6|
368133|326261|5|
375301|333127|12|
376481|334342|7|
376867|334704|5|
400739|356973|4|
403605|359582|12|
403621|359598|12|
406931|362990|11|
406932|362990|15|
407203|363237|5|
410426|366160|7|
413421|368840|12|
414026|369375|5|
414027|369375|6|
415311|370592|5|
415863|371021|6|
418059|373191|11|
419138|374115|12|
