VehicleToEngineConfigID|VehicleID|EngineConfigID|Source
184809|55619|7369|
184850|55619|7474|
189065|55619|8212|
315260|156802|12927|
315261|156802|18666|
316414|156802|13761|
327440|178639|14128|POWERSPORT
382089|156802|16873|
384243|194487|14029|
403913|204229|14042|
417520|211843|18422|
419815|212992|14315|
421220|211362|13809|
421225|211362|20041|
426502|218116|18565|
427836|221024|19038|
454621|218116|20405|
464812|232658|18571|
465077|232658|18570|
493551|245471|17012|
498634|246847|21781|
498635|246847|21780|
521264|261830|20415|
521265|261830|20416|
523897|263666|24283|
526628|261830|20408|
532410|270341|25060|
497588|248134|22373|
543298|278316|25773|
555772|288248|25259|
564065|295029|24260|
580018|308060|14192|
580251|308316|26764|
589824|315680|26251|
599402|323280|23784|
603030|326261|26045|
612096|333127|22424|
613483|334342|25658|
613905|334704|27277|
641801|356973|13919|
645389|359582|27797|
645390|359582|27798|
645406|359598|27808|
645407|359598|27809|
648791|362990|25540|
648792|362990|25541|
649070|363237|26132|
652255|366160|20955|
655522|368840|8613|
656186|369375|24259|
657556|370592|24255|
658208|371021|28191|
658209|371021|28192|
660625|373191|27743|
661756|374115|18571|
