VehicleToMfrBodyCodeID|VehicleID|MfrBodyCodeID|Source
105836|55619|233|
221099|156802|2163|
221100|156802|2164|
221101|156802|2165|
221102|156802|2166|
221103|156802|2167|
240003|211843|2565|
246635|218116|4|
249548|221024|4|
281928|232658|4|
297229|178639|4|
303696|194487|4|
305957|204229|4|
308442|212992|4|
315087|211362|4284|
323074|245471|4|
329292|248134|2|
330222|246847|3983|
338475|211362|4285|
348884|261830|4|
351621|263666|2|
364862|270341|2|
374862|278316|2|
393012|295029|5139|
406868|308060|4|
407100|308316|4|
414480|315680|2|
422415|323280|5096|
425562|326261|5139|
432525|333127|4|
433769|334342|23|
434145|334704|5497|
457004|356973|4|
459988|359582|2|
460004|359598|2|
463268|362990|2|
463515|363237|5263|
466418|366160|297|
466419|366160|4042|
469404|368840|4|
385797|288248|5741|
471149|369375|3423|
472366|370592|5775|
473298|371021|2|
475659|373191|2|
476723|374115|4|
