VehicleToSpringTypeConfigID|VehicleID|SpringTypeConfigID|Source
50556|55619|8|
50562|55619|9|
154053|156802|8|
168994|211843|1|
170270|211362|8|
174983|218116|15|
177896|221024|15|
209745|232658|15|
225048|178639|15|
231515|194487|15|
233776|204229|15|
236261|212992|15|
248512|245471|15|
254365|248134|1|
255219|246847|1|
268219|261830|15|
270254|263666|3|
276927|270341|1|
285220|278316|1|
295169|288248|15|
301918|295029|1|
315191|308060|15|
315420|308316|3|
323110|315680|8|
331139|323280|6|
334166|326261|8|
341317|333127|15|
342413|334342|1|
342790|334704|1|
365584|356973|15|
368228|359582|3|
368244|359598|3|
371454|362990|3|
371710|363237|1|
374645|366160|1|
377439|368840|15|
378004|369375|1|
379221|370592|1|
379698|371021|6|
381858|373191|3|
382870|374115|15|
