VehicleToSteeringConfigID|VehicleID|SteeringConfigID|Source
52674|55619|1|
156073|156802|2|
171454|211843|1|
172708|211362|1|
177420|218116|8|
180333|221024|8|
212189|232658|8|
227492|178639|8|
233959|194487|8|
236220|204229|8|
238705|212992|8|
250828|245471|8|
256563|248134|15|
257429|246847|1|
270197|261830|8|
272207|263666|1|
278833|270341|1|
287071|278316|1|
297062|288248|8|
303836|295029|1|
317043|308060|8|
317272|308316|1|
324931|315680|1|
332874|323280|1|
335902|326261|1|
342936|333127|8|
344018|334342|1|
344394|334704|1|
366861|356973|8|
369488|359582|2|
369504|359598|2|
372696|362990|2|
372943|363237|1|
375802|366160|1|
378575|368840|8|
379116|369375|1|
380333|370592|1|
380780|371021|1|
382921|373191|2|
383930|374115|8|
