VehicleToTransmissionID|VehicleID|TransmissionID|Source
129814|55619|2620|
129819|55619|1185|
250234|156802|2849|
324978|211843|2777|
327318|211362|2937|
332757|218116|2340|
335670|221024|2340|
349009|232658|2340|
362783|178639|2340|
369250|194487|2340|
371511|204229|2340|
373996|212992|2340|
392623|245471|2340|
399128|248134|5701|
399129|248134|5702|
400316|246847|4991|
416484|261830|2340|
419046|263666|6198|
426906|270341|297|
437225|278316|297|
448931|288248|3116|
457029|295029|388|
472578|308060|2340|
472810|308316|6918|
481377|315680|6699|
490472|323280|6114|
493766|326261|3021|
502318|333127|2340|
503618|334342|5115|
504031|334704|3021|
530753|356973|2340|
534007|359582|7334|
534008|359582|6299|
534025|359598|5334|
537708|362990|6417|
537709|362990|6419|
537710|362990|6418|
537711|362990|7243|
538006|363237|3017|
541251|366160|5751|
541252|366160|4971|
541253|366160|6528|
541254|366160|6529|
544369|368840|2340|
545013|369375|5557|
546467|370592|5435|
546965|371021|4683|
549400|373191|6477|
550486|374115|2340|
