VehicleToWheelbaseID|VehicleID|WheelbaseID|Source
74396|55619|67|
74399|55619|68|
74401|55619|69|
181993|156802|106|
181994|156802|107|
181995|156802|108|
181996|156802|109|
181997|156802|110|
200810|211843|304|
202296|211362|53|
202301|211362|119|
207425|218116|4|
210338|221024|4|
242306|232658|4|
257608|178639|4|
264075|194487|4|
266336|204229|4|
268821|212992|4|
282756|245471|4|
288809|248134|1|
289660|246847|466|
303569|261830|4|
305786|263666|494|
313362|270341|405|
322558|278316|126|
340613|295029|1|
355227|308060|4|
355458|308316|146|
363378|315680|817|
371900|323280|91|
375178|326261|87|
382643|333127|4|
383757|334342|1|
384173|334704|319|
407481|356973|1|
410524|359582|504|
410540|359598|1046|
413863|362990|157|
414166|363237|1|
417230|366160|1|
420233|368840|4|
333175|288248|390|
420305|288248|122|
420306|288248|123|
420307|288248|124|
420308|288248|125|
420309|288248|146|
420310|288248|389|
421904|369375|93|
423224|370592|665|
425027|371021|90|
428315|373191|153|
428316|373191|342|
429462|374115|4|
