WheelBaseID|WheelBase|WheelBaseMetric
1|-|-
4|U/K|U/K
53|145.0|368.3
67|120.5|306.1
68|140.5|356.9
69|160.5|407.7
87|101.4|257.6
90|117.5|298.5
91|119.0|302.3
93|106.5|270.5
106|135.0|342.9
107|155.0|393.7
108|139.0|353.1
109|159.0|403.9
110|177.0|449.6
119|157.0|398.8
122|178.0|452.1
123|208.0|528.3
124|190.0|482.6
125|228.0|579.1
126|100.6|255.5
146|158.0|401.3
153|126.0|320.0
157|172.0|436.9
304|121.2|307.8
319|101.7|258.3
342|136.8|347.5
389|242.0|614.7
390|252.0|640.1
405|105.7|268.5
466|121.6|308.9
494|167.3|425.0
504|171.3|435.0
665|111.4|282.9
817|140.6|357.0
1046|154.9|393.5
